Date,Site,Species,Pittag,Elastomer,OldNew,Sex,Tissue,SVL,Tail removed,Tail regrown,Weight,LatLoc,Sub,Size,Meso,LongLoc,Stage,PhotoID,PhotoID,PhotoSVL,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,TailWidth,HeightTail,Notes
6/13/2021,UpperParadise,DF,900215000823275,NA,N,F,N,48,30,5,2.3,WE,R,36,PL,138,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,DF,900215000823216,NA,N,M,N,53,0,0,3.3,WE,R,42,RF,150,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,GP,900215000822332,NA,N,U,Y,NA,0,0,1.5,WE,R,58,PL,236,L,108-0246,108-0247,44.72,12.65,8.22,29.99,7.04,2.26,1.58,5.92,5.69,
6/13/2021,UpperParadise,GP,900215000822352,NA,N,U,Y,NA,0,0,2.6,T,R,47,PL,247,L,108-0244,108-0245,52.42,14.24,9.26,35.85,8.51,3.59,3.15,6.59,6.92,
6/13/2021,UpperParadise,GP,900215000822363,GPB1-402,O,F,Y,NA,20,18,11.0,T,R,29,R,200,A,108-0248,108-0249,77.31,20.63,9.61,50.1,6.06,5.13,4.29,6.05,8.44,
6/13/2021,UpperParadise,GP,900215000822337,NA,N,F,Y,NA,15,13,3.1,T,R,25,PL,315,L,108-0250,108-0251,55.64,15.32,9.92,38.97,8.98,3.49,2.46,6.91,6.97,
6/13/2021,UpperParadise,GP,900215000822319,NA,N,F,Y,NA,0,0,6.2,T,R,21,PL,427,A,108-0252,108-0253,71.49,17.89,11.04,49.44,10.79,5.13,4.96,8.14,8.91,
6/13/2021,UpperParadise,GP,900215000822375,NA,N,F,Y,NA,10,1,4.5,WE,R,15,PL,381,A,108-0254,108-0255,70.38,17.77,10.6,47.95,9.39,4.95,4.67,7.96,14.49,
6/13/2021,UpperParadise,GP,900215000822367,NA,N,U,Y,NA,0,0,3.4,T,R,30,PL,415,L,108-0257,108-0258,56,15.02,10.34,37.79,9.08,2.73,3.52,6.86,8.07,
6/13/2021,UpperParadise,GP,900215000822341,NA,N,U,Y,NA,0,0,4.4,WE,R,33,PL,418,L,108-0260,108-0261,61.92,14.89,10.62,43.3,9.65,3.99,2.81,7.26,8.55,
6/13/2021,UpperParadise,GP,900113001674407,NA,O,U,Y,NA,8,8,2.6,WE,R,23,PL,415,L,108-0256,NA,50.83,13.83,9.53,34.51,8.37,3.19,2.55,6.25,NA,
6/13/2021,UpperParadise,GP,900113001674408,NA,O,M,Y,NA,10,0,11.5,T,R,31,RF,446,A,108-0259,NA,87.32,22.31,13.69,57.58,13.37,6.28,4.92,10.35,NA,
6/13/2021,UpperParadise,GP,900215000822334,NA,N,U,Y,NA,0,0,1.2,T,R,30,RF,450,L,108-0262,108-0263,39.71,11.21,7.45,27.48,6.71,2.56,2.03,4.89,5.37,
6/13/2021,UpperParadise,GP,900113001674829,NA,O,U,Y,NA,0,0,2.8,T,R,31,RF,450,L,108-0264,108-0265,47.91,11.1,8.16,34.68,7.92,4.01,3.05,6.16,7.01,
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,30,PL,238,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,900215000822351,NA,O,U,Y,NA,0,0,1.3,T,R,32,PL,460,L,108-0266,108-0267,38.82,9.59,7.44,25.34,6.7,1.93,1.69,5.12,5.04,
6/13/2021,UpperParadise,EB,NA,NA,N,U,N,32,0,0,0.5,WE,R,17,PL,470,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,18,PL,167,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,30,PL,179,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,15,RF,181,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,45,PL,338,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,EB,NA,NA,N,U,N,37,0,0,0.9,WE,R,41,PL,472,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/13/2021,UpperParadise,GP,900215000822376,NA,N,U,Y,NA,5,2,6.7,T,R,33,PL,500,L,108-0268,108-0269,59.81,14.92,10.61,40.67,11.5,4.15,3.66,7.56,8.3,
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,17,PL,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,WE,R,24,PL,11,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,60,PL,435,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,60,PL,435,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/13/2021,UpperParadise,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,60,PL,435,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/14/2021,LowerZigZag,GP,900215000822358,NA,N,U,Y,NA,0,0,2.8,WE,R,30,RF,276,L,108-0270,108-0271,53.47,14.05,9.83,38.86,9.39,4.15,3.47,6.13,7.02,
6/14/2021,LowerZigZag,GP,900215000822374,NA,N,F,Y,NA,0,0,5.5,WE,R,45,RF,473,A,108-0272,108-0273,73.45,17.51,10.39,51.35,11.59,3.21,4.2,8.2,8.06,
6/14/2021,LowerZigZag,GP,900215000822318,NA,N,F,Y,NA,10,0,6.5,WE,R,44,PL,321,A,108-0276,108-0277,78.99,18.6,11.27,55.49,11.55,5.08,4.09,8.57,7.11,
6/14/2021,LowerZigZag,GP,999002018052567,NA,O,U,Y,NA,0,0,4.1,WE,R,50,PL,317,L,108-0274,108-0275,56.98,14.24,10.28,39.75,9.67,4.62,2.81,8.26,6.41,
6/14/2021,LowerZigZag,DF,900113001674293,NA,O,M,N,49,0,0,2.5,WE,R,35,RF,210,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/14/2021,LowerZigZag,GP,900215000822342,NA,N,U,Y,NA,5,5,3.3,WE,R,20,RF,394,L,108-0278,108-0279,54,12.06,9.91,35.7,9.18,3.38,2.09,6.71,7.81,
6/14/2021,LowerZigZag,DF,900113001674300,NA,O,F,N,46,0,0,2.1,WE,R,30,RF,215,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/14/2021,LowerZigZag,GP,900215000822344,NA,N,F,Y,NA,0,0,4.9,WE,R,50,PL,159,A,108-0280,108-0281,70.95,16.66,9.41,49.15,9.77,4.88,3.8,7.76,7.33,
6/14/2021,LowerZigZag,GP,900215000822396,NA,N,U,Y,NA,0,0,1.8,T,R,28,RF,237,L,108-0282,108-0283,44.91,11.87,7.97,30.7,7.22,3.03,2.7,5.42,6.06,
6/14/2021,LowerZigZag,GP,900215000822346,NA,N,F,Y,NA,15,2,14.5,WE,R,32,RF,246,A,108-0285,108-0286,102.19,25.71,14.89,70.47,14.58,8.14,5.7,11.01,7.92,eggs visible
6/14/2021,LowerZigZag,GP,900215000822313,NA,N,U,Y,NA,0,0,3.1,WE,R,60,PL,494,L,108-0287,108-0288,47.3,10.15,8.61,33.14,7.93,2.18,2.35,5.51,6.44,
6/14/2021,LowerZigZag,GP,900215000822333,NA,N,U,Y,NA,0,0,2.2,T,R,30,RF,331,L,108-0289,108-0290,47.8,11.97,8.09,34.02,7.49,3.57,3.29,6.1,5.86,
6/14/2021,LowerZigZag,GP,900215000822398,NA,N,U,Y,NA,15,0,2.7,WE,R,37,PL,200,L,108-0291,108-0292,53.94,14.1,9.41,37.52,8.93,3.86,4.42,6.41,6.37,
6/14/2021,LowerZigZag,GP,900215000822323,NA,N,F,Y,NA,0,0,5.9,WE,R,37,RF,235,A,108-0293,108-0294,71.17,18.14,10.57,48.89,10.95,5.95,6.07,8.65,7.89,
6/14/2021,LowerZigZag,GP,900215000822371,NA,N,U,Y,NA,0,0,1.3,WE,R,50,RF,323,L,108-0295,108-0296,40.38,10.13,7.42,27.61,6.81,2.1,2.33,5.15,4.97,
6/14/2021,LowerZigZag,GP,900215000822353,NA,N,U,Y,NA,0,0,4.3,T,R,20,RF,356,L,108-0297,108-0298,69.43,18.94,11.77,48.18,10.61,5.38,3.86,8.71,7.88,
6/14/2021,LowerZigZag,GP,NA,NA,O,F,Y,NA,0,0,3.7,WE,R,32,RF,363,A,108-0299,NA,64.31,15.33,8.79,43.68,8.93,5.1,4.98,7.6,NA,missing last 3 digits of ID (999002018052)
6/15/2021,LowerBear,GP,NA,NA,N,U,N,29,0,0,0.3,T,R,50,RF,71,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOO SMALL
6/15/2021,LowerBear,GP,900215000822359,NA,N,F,Y,NA,1,0,8.0,T,R,40,PL,161,A,108-0301,108-0302,79.49,20.01,12.39,54.62,12.31,3.78,4.34,9.78,8.72,
6/15/2021,LowerBear,GP,NA,NA,N,U,N,30,0,0,0.6,WE,R,18,PL,164,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOO SMALL
6/15/2021,LowerBear,GP,900215000822399,NA,N,F,Y,NA,0,0,8.9,T,R,33,RF,60,A,108-0303,108-0304,85.28,20.3,12.95,58.07,12.9,5.69,5.43,9.93,9.03,
6/15/2021,LowerBear,GP,900215000822383,NA,N,F,Y,NA,8,3,8.5,WE,R,24,RF,149,A,108-0305,108-0306,92.01,21.62,13.35,63.91,13.73,5.56,5.2,10.34,6.64,
6/15/2021,LowerBear,GP,900215000822366,NA,N,U,Y,NA,0,0,1.0,WE,R,20,RF,253,L,108-0307,108-0308,37.41,10.08,7.15,24.62,6.23,2.38,2.56,4.46,4.03,
6/15/2021,LowerBear,GP,900215000822370,NA,N,U,Y,NA,0,0,6.2,T,R,43,RF,328,L,108-0309,108-0310,64.98,16.06,11.82,45.53,11.91,4.35,3.09,9,8.61,
6/15/2021,LowerBear,GP,900215000822368,NA,N,U,Y,NA,3,3,3.9,WE,R,38,RF,280,L,108-0311,108-0312,57.54,14.48,10.71,41.55,10.55,4.28,3.14,7.46,7.66,
6/15/2021,LowerBear,GP,900215000822339,NA,N,U,Y,NA,0,0,1.7,T,R,16,RF,251,L,108-0313,108-0315,46.76,12.05,8.89,32.29,7.29,3.5,3.12,5.87,5.9,
6/15/2021,LowerBear,GP,900215000822336,NA,N,U,Y,NA,0,0,2.6,WE,R,15,PL,265,L,108-0316,108-0317,50.97,12.24,9.24,35.14,8.58,3.24,2.2,6.46,6.77,
6/15/2021,LowerBear,GP,900215000823043,NA,N,U,Y,NA,2,0,1.4,WE,R,16,RF,292,L,108-0318,108-0319,41.5,11.97,7.06,27.89,5.9,3.2,3.25,4.51,4.43,
6/15/2021,LowerBear,GP,900215000823003,NA,N,U,Y,NA,4,2,4.7,T,R,17,RF,307,L,108-0320,108-0321,62.94,16.95,10.31,44.04,9.2,4.2,5.6,6.44,7.79,
6/15/2021,LowerBear,GP,900215000823034,NA,N,U,Y,NA,7,0,2.5,T,R,45,RF,328,L,108-0322,108-0323,52.32,11.88,7.53,37.48,7.12,3.36,3.97,5.75,6.36,
6/15/2021,LowerBear,GP,900215000823048,NA,N,U,Y,NA,5,0,1.7,WE,R,32,RF,333,L,108-0324,108-0325,45.62,13.42,8.92,29.88,6.61,3.54,3.27,5.17,5.53,
6/15/2021,LowerBear,GP,900215000823032,NA,N,U,Y,NA,0,0,3.6,WE,R,52,PL,439,L,108-0326,108-0327,53.87,13.42,9.64,36.68,8.95,3.52,4.61,6.45,6.85,
6/15/2021,LowerBear,GP,900215000823068,NA,N,U,Y,NA,0,0,6.6,WE,R,33,PL,446,L,108-0328,108-0329,68.64,14.39,10.36,45.88,11.83,4.54,5.11,7.84,8.88,THREW UP ~60mm LONG WORM
6/15/2021,LowerBear,GP,90021500823035,NA,N,U,Y,NA,0,0,2.7,T,R,30,PL,364,L,108-0330,108-0331,51.67,12.67,9.17,35.57,7.78,3.25,3.51,5.56,6.7,
6/15/2021,LowerBear,GP,NA,NA,N,U,N,33,0,0,0.9,WE,R,17,PL,496,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOO SMALL
6/15/2021,LowerBear,GP,NA,NA,N,U,N,32,0,0,1.0,WE,R,37,RF,239,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOO SMALL
6/15/2021,LowerBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,WE,R,55,PL,379,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISS
6/15/2021,LowerBear,DF,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,30,RF,248,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISS
6/16/2021,LowerParadise,GP,900215000823055,NA,N,M,Y,NA,5,3,19.5,WE,R,28,PL,268,A,108-0334,108-0336,106.52,24.85,15.9,73.06,13.96,5.72,7.24,12.69,12.39,BIG BOI!
6/16/2021,LowerParadise,GP,900215000823045,NA,N,M,Y,NA,0,0,6.4,T,R,27,RF,24,A,108-0332,108-0333,77.65,19.01,10.7,52.78,10.98,4.85,5.39,8.89,8.67,
6/16/2021,LowerParadise,GP,900215000823050,NA,N,F,Y,NA,0,0,5.8,WE,R,20,PL,183,A,108-0337,108-0338,66.14,17.54,11.23,44.23,11.23,4.44,4.99,8.25,8.33,GROWTH ON RIGHT CHEEK
6/16/2021,LowerParadise,GP,900215000823025,NA,N,U,Y,NA,2,0,4.0,T,R,19,RF,257,L,108-0339,108-0340,62.47,16.94,10.54,43.27,9.63,5.06,4.46,7.29,7.43,
6/16/2021,LowerParadise,GP,900215000823076,NA,N,M,Y,NA,0,0,9.0,T,R,35,RF,229,A,108-0341,108-0342,84.73,22.58,12.78,57.01,12.83,5.6,5.28,10.13,9.14,NOTCH IN TAIL -MAYBE CUT
6/16/2021,LowerParadise,GP,900215000823067,NA,N,U,Y,NA,10,2,1.6,T,R,25,PL,167,L,108-0343,108-0344,41.44,11.29,7.57,28.74,6.02,2.94,2.93,4.79,5.31,
